order_id,customer_id,category,payment_method,price,order_hour,is_weekend,discount_percent,customer_account_age_days,customer_past_orders,customer_past_return_rate,variants_in_order,returned
ORD10049,CUST1485,Home & Kitchen,COD,2678.21,12,1,30,564,7,0.14,1,0
ORD10050,CUST1155,Footwear,Card,5009.36,5,0,10,449,33,0.2,1,1
ORD10051,CUST1199,Beauty,COD,7750.22,1,0,0,90,16,0.05,1,0
ORD10052,CUST1262,Electronics,Wallet,3753.83,11,0,0,179,38,0.19,1,1
ORD10053,CUST1234,Apparel,UPI,4772.9,2,1,5,895,25,0.24,1,0
ORD10054,CUST1352,Apparel,COD,5435.48,23,0,10,673,39,0.64,1,1
ORD10055,CUST1055,Beauty,COD,2438.56,9,0,10,424,24,0.16,1,0
ORD10056,CUST1269,Home & Kitchen,Wallet,7297.23,5,0,0,183,36,0.77,1,1
ORD10057,CUST1374,Apparel,COD,775.77,19,0,5,435,32,0.24,1,0
ORD10058,CUST1495,Home & Kitchen,Netbanking,6867.33,2,0,0,814,1,0.15,1,0
ORD10059,CUST1154,Home & Kitchen,Card,4637.04,3,0,0,583,38,0.23,1,0
ORD10060,CUST1376,Home & Kitchen,Card,5882.38,0,0,10,514,14,0.09,1,0
ORD10061,CUST1116,Apparel,Wallet,5465.9,6,0,0,79,24,0.13,1,1
ORD10062,CUST1049,Electronics,Card,3513.29,2,1,0,531,10,0.19,1,0
ORD10063,CUST1411,Footwear,UPI,7307.63,5,0,5,175,29,0.13,1,0
ORD10064,CUST1075,Home & Kitchen,Card,7600.22,19,1,0,531,28,0.24,1,0
ORD10065,CUST1041,Beauty,Card,1291.47,17,0,20,893,26,0.24,1,1
ORD10066,CUST1565,Beauty,COD,7022.69,19,0,0,37,6,0.22,1,0
ORD10067,CUST1229,Home & Kitchen,UPI,1122.19,3,1,0,876,26,0.21,1,0
ORD10068,CUST1497,Electronics,Card,3077.7,5,1,20,788,33,0.04,1,1
ORD10069,CUST1517,Beauty,Wallet,4983.5,19,0,10,732,20,0.24,1,0
ORD10070,CUST1383,Home & Kitchen,COD,1161.86,8,0,5,67,11,0.22,1,1
ORD10071,CUST1157,Electronics,Netbanking,5516.14,1,1,5,373,25,0.15,1,0
ORD10072,CUST1177,Electronics,Wallet,3150.9,3,0,30,453,11,0.22,1,0
ORD10073,CUST1546,Electronics,Netbanking,1961.89,2,0,10,569,3,0.24,1,0
ORD10074,CUST1434,Electronics,COD,5887.01,0,1,20,226,23,0.02,1,0
ORD10075,CUST1196,Apparel,UPI,3470.74,2,0,20,301,36,0.03,1,1
ORD10076,CUST1478,Beauty,Netbanking,2691.12,1,0,10,280,1,0.07,1,0
ORD10077,CUST1368,Beauty,Wallet,1162.74,10,0,0,22,11,0.08,1,0
ORD10078,CUST1515,Apparel,Card,3402.32,5,1,5,163,9,0.02,1,0
ORD10079,CUST1080,Home & Kitchen,UPI,3889.27,10,0,0,280,36,0.12,1,0
ORD10080,CUST1527,Beauty,Wallet,6607.33,14,1,0,151,30,0.24,1,0
ORD10081,CUST1316,Apparel,Netbanking,1293.04,5,0,5,421,39,0.1,1,0
ORD10082,CUST1106,Electronics,Netbanking,208.91,17,0,0,865,12,0.61,1,1
ORD10083,CUST1186,Home & Kitchen,COD,4260.26,6,0,0,529,34,0.01,1,0
ORD10084,CUST1109,Beauty,Card,4851.78,18,0,20,645,25,0.14,1,0
ORD10085,CUST1218,Home & Kitchen,Card,3913.42,21,0,0,764,21,0.15,1,0
ORD10086,CUST1506,Beauty,Card,5237.76,11,1,0,610,33,0.14,1,1
ORD10087,CUST1005,Home & Kitchen,Card,7283.11,2,1,30,65,3,0.01,1,0
ORD10088,CUST1356,Home & Kitchen,Netbanking,412.69,11,0,20,478,0,0.22,1,0
ORD10089,CUST1334,Beauty,Card,1401.76,16,0,5,578,8,0.14,1,0
ORD10090,CUST1435,Footwear,COD,435.55,10,1,0,665,27,0.08,1,1
ORD10091,CUST1390,Electronics,Card,1637.71,10,1,0,398,1,0.21,1,0
ORD10092,CUST1085,Footwear,Card,3151.58,15,0,30,445,30,0.13,1,1
ORD10093,CUST1500,Electronics,UPI,3879.33,8,0,0,776,5,0.0,1,0
ORD10094,CUST1543,Apparel,Card,6847.35,10,1,0,147,1,0.07,1,1
ORD10095,CUST1452,Apparel,Wallet,5509.69,6,1,10,144,24,0.19,1,0
ORD10096,CUST1051,Electronics,COD,7317.97,13,0,0,442,12,0.22,1,0
ORD10097,CUST1073,Home & Kitchen,Card,3348.98,19,0,0,829,4,0.11,1,0
ORD10098,CUST1314,Home & Kitchen,COD,4461.03,12,0,20,481,24,0.15,1,1
ORD10099,CUST1046,Electronics,Wallet,4033.23,12,1,20,31,19,0.15,1,0
ORD10100,CUST1305,Footwear,UPI,2053.5,15,0,30,62,31,0.1,1,0
ORD10101,CUST1454,Beauty,Wallet,1467.74,13,1,20,855,22,0.17,1,1
ORD10102,CUST1395,Electronics,Wallet,3245.26,22,0,30,176,37,0.12,1,0
ORD10103,CUST1546,Beauty,Wallet,4223.76,1,0,20,569,3,0.24,1,0
ORD10104,CUST1050,Beauty,Netbanking,1234.79,0,0,0,511,15,0.08,1,0
ORD10105,CUST1500,Apparel,COD,6592.98,13,1,0,776,5,0.0,1,1
ORD10106,CUST1281,Apparel,Netbanking,5732.88,23,0,20,346,39,0.05,1,0
ORD10107,CUST1034,Home & Kitchen,Netbanking,2139.73,5,1,10,371,8,0.22,1,1
ORD10108,CUST1456,Footwear,COD,4511.15,16,1,5,889,13,0.02,1,0
ORD10109,CUST1537,Home & Kitchen,Card,4849.09,0,0,20,784,10,0.23,1,1
ORD10110,CUST1470,Home & Kitchen,Wallet,5687.15,21,0,5,582,10,0.74,1,1
ORD10111,CUST1214,Apparel,Card,977.68,3,0,5,796,5,0.6,1,1
ORD10112,CUST1284,Beauty,Netbanking,1198.35,11,0,20,388,3,0.05,1,0
ORD10113,CUST1332,Footwear,Card,2207.49,6,1,30,711,25,0.06,1,0
ORD10114,CUST1419,Electronics,Wallet,5508.23,23,0,30,17,23,0.21,1,1
ORD10115,CUST1062,Beauty,Netbanking,570.37,18,0,10,487,16,0.04,1,0
ORD10116,CUST1324,Home & Kitchen,COD,660.44,2,0,10,825,13,0.17,1,0
ORD10117,CUST1473,Footwear,Card,3719.25,21,0,30,168,12,0.15,1,1
ORD10118,CUST1407,Footwear,Card,1270.06,13,0,20,350,6,0.21,1,0
ORD10119,CUST1021,Beauty,Card,5907.77,19,1,0,265,0,0.19,1,1
ORD10120,CUST1055,Beauty,UPI,5409.6,19,0,0,424,24,0.16,1,0
ORD10121,CUST1472,Home & Kitchen,UPI,4889.86,19,0,20,224,12,0.22,1,1
ORD10122,CUST1331,Beauty,Netbanking,7885.51,18,1,0,494,3,0.09,1,0
ORD10123,CUST1473,Home & Kitchen,UPI,4522.3,11,1,20,168,12,0.15,1,0
ORD10124,CUST1099,Beauty,COD,6004.85,23,1,20,841,23,0.03,1,0
ORD10125,CUST1046,Electronics,Wallet,7823.02,6,0,5,31,19,0.15,1,1
ORD10126,CUST1308,Home & Kitchen,COD,2843.79,16,0,30,351,27,0.2,1,1
ORD10127,CUST1357,Electronics,Wallet,1240.07,9,0,0,786,33,0.64,1,1
ORD10128,CUST1098,Beauty,Wallet,1430.91,18,1,10,702,1,0.02,1,0
ORD10129,CUST1320,Beauty,COD,663.21,14,0,0,226,15,0.13,1,1
ORD10130,CUST1097,Footwear,Card,2559.81,19,0,30,432,34,0.2,1,0
ORD10131,CUST1214,Electronics,COD,900.18,18,0,10,796,5,0.6,1,0
ORD10132,CUST1129,Footwear,Wallet,4761.32,4,1,30,76,14,0.11,1,0
ORD10133,CUST1028,Home & Kitchen,COD,505.02,16,1,10,525,16,0.63,1,1
ORD10134,CUST1180,Home & Kitchen,COD,5812.19,18,1,20,561,5,0.12,1,0
ORD10135,CUST1294,Electronics,COD,868.01,12,0,0,57,19,0.1,1,1
ORD10136,CUST1093,Beauty,Netbanking,686.67,5,0,30,140,14,0.23,1,0
ORD10137,CUST1303,Electronics,Card,859.24,0,1,0,683,7,0.24,1,0
ORD10138,CUST1423,Electronics,Wallet,7619.16,10,0,0,302,22,0.19,1,1
ORD10139,CUST1030,Electronics,Wallet,5032.28,16,1,30,71,8,0.06,1,0
ORD10140,CUST1207,Footwear,COD,1417.11,15,0,0,745,25,0.15,1,1
ORD10141,CUST1377,Footwear,UPI,1530.36,21,1,5,33,33,0.16,1,1
ORD10142,CUST1443,Footwear,Wallet,6854.34,7,1,20,353,3,0.21,1,1
ORD10143,CUST1101,Electronics,Netbanking,6615.54,7,0,5,781,35,0.15,2,0
ORD10144,CUST1549,Footwear,Netbanking,7593.71,22,0,0,684,8,0.17,1,0
ORD10145,CUST1228,Beauty,UPI,4172.65,11,0,0,417,18,0.12,1,1
ORD10146,CUST1473,Home & Kitchen,Card,1526.39,23,0,20,168,12,0.15,1,1
ORD10147,CUST1129,Home & Kitchen,UPI,2901.79,19,0,10,76,14,0.11,1,0
ORD10148,CUST1140,Electronics,Card,387.99,8,0,20,201,2,0.16,1,0
ORD10149,CUST1147,Home & Kitchen,Netbanking,4267.95,20,0,30,857,38,0.08,1,0
ORD10150,CUST1191,Home & Kitchen,Card,2673.13,6,1,10,451,13,0.01,1,0
ORD10151,CUST1296,Electronics,Netbanking,6197.79,9,0,5,435,30,0.74,1,0
ORD10152,CUST1583,Beauty,Wallet,1337.18,18,0,5,760,31,0.25,1,1
ORD10153,CUST1427,Home & Kitchen,Card,5967.2,12,0,10,730,7,0.1,1,0
ORD10154,CUST1125,Beauty,Wallet,3381.9,4,0,30,544,18,0.12,1,1
ORD10155,CUST1081,Home & Kitchen,UPI,1270.55,2,0,10,6,38,0.09,1,0
ORD10156,CUST1282,Beauty,Wallet,7566.11,18,0,0,60,21,0.14,2,1
ORD10157,CUST1098,Footwear,Wallet,718.44,5,1,20,702,1,0.02,1,0
ORD10158,CUST1524,Footwear,Netbanking,1797.51,0,0,0,317,32,0.05,1,0
ORD10159,CUST1157,Apparel,COD,4695.0,7,1,0,373,25,0.15,1,0
ORD10160,CUST1286,Beauty,Wallet,2458.44,6,1,30,778,19,0.12,1,0
ORD10161,CUST1172,Beauty,Wallet,405.7,20,1,30,210,24,0.11,1,1
ORD10162,CUST1253,Footwear,UPI,980.46,21,1,10,684,14,0.07,1,0
ORD10163,CUST1001,Footwear,Wallet,4729.03,7,0,20,824,32,0.12,1,1
ORD10164,CUST1583,Electronics,Card,7920.09,12,0,30,760,31,0.25,1,0
ORD10165,CUST1248,Electronics,UPI,3586.03,17,1,20,281,26,0.18,1,1
ORD10166,CUST1175,Beauty,Wallet,4850.27,9,1,10,493,2,0.08,1,1
ORD10167,CUST1300,Apparel,Wallet,3292.44,14,0,20,221,8,0.01,1,1
ORD10168,CUST1285,Footwear,UPI,1708.5,2,1,30,563,10,0.12,1,0
ORD10169,CUST1491,Home & Kitchen,Wallet,1298.35,16,0,30,722,6,0.1,1,0
ORD10170,CUST1102,Beauty,COD,5007.04,17,0,0,195,11,0.03,1,0
ORD10171,CUST1442,Home & Kitchen,Wallet,1644.71,4,0,10,58,20,0.05,1,0
ORD10172,CUST1160,Home & Kitchen,Netbanking,878.31,0,0,30,23,14,0.13,1,0
ORD10173,CUST1446,Home & Kitchen,Wallet,6735.19,21,0,30,337,2,0.08,1,0
ORD10174,CUST1561,Apparel,Netbanking,3944.45,23,0,0,280,11,0.01,1,0
ORD10175,CUST1305,Footwear,UPI,7130.57,5,0,0,62,31,0.1,1,0
ORD10176,CUST1299,Apparel,Netbanking,246.53,6,0,10,530,22,0.06,1,0
ORD10177,CUST1167,Electronics,COD,3640.71,3,0,10,726,39,0.23,1,1
ORD10178,CUST1578,Beauty,Netbanking,2722.32,19,0,5,890,8,0.25,1,0
ORD10179,CUST1047,Footwear,Netbanking,2886.51,15,1,0,716,7,0.12,1,1
ORD10180,CUST1358,Beauty,COD,3836.26,20,0,0,507,25,0.08,1,0
ORD10181,CUST1559,Electronics,COD,2185.75,22,0,10,165,31,0.2,1,1
ORD10182,CUST1270,Home & Kitchen,Netbanking,3270.09,13,0,20,639,9,0.01,1,0
ORD10183,CUST1239,Footwear,Card,920.36,3,1,0,1,18,0.06,1,0
ORD10184,CUST1030,Footwear,Netbanking,1021.4,14,1,0,71,8,0.06,1,0
ORD10185,CUST1400,Electronics,Netbanking,4029.64,19,0,0,98,22,0.13,1,0
ORD10186,CUST1245,Home & Kitchen,COD,3019.46,23,1,10,484,1,0.04,1,1
ORD10187,CUST1503,Home & Kitchen,COD,2011.73,1,1,0,344,33,0.17,1,0
ORD10188,CUST1407,Apparel,Card,285.46,18,1,0,350,6,0.21,1,0
ORD10189,CUST1466,Footwear,Wallet,5089.85,8,1,30,387,15,0.8,1,0
ORD10190,CUST1112,Apparel,UPI,4431.51,6,0,20,379,27,0.19,1,1
ORD10191,CUST1567,Beauty,Card,3671.36,17,1,10,248,27,0.08,1,0
ORD10192,CUST1106,Footwear,UPI,4158.42,5,0,5,865,12,0.61,1,0
ORD10193,CUST1443,Home & Kitchen,COD,6194.96,15,0,5,353,3,0.21,1,0
ORD10194,CUST1333,Home & Kitchen,COD,733.98,11,0,0,700,20,0.05,1,1
ORD10195,CUST1493,Electronics,Wallet,6666.72,14,0,5,139,19,0.06,1,1
ORD10196,CUST1327,Beauty,Wallet,3560.01,21,0,20,547,31,0.06,1,0
ORD10197,CUST1107,Home & Kitchen,Netbanking,4916.39,9,0,20,416,12,0.15,1,0
ORD10198,CUST1159,Beauty,UPI,3284.22,4,0,0,181,5,0.19,1,0
ORD10199,CUST1376,Apparel,Netbanking,5370.15,1,0,10,514,14,0.09,1,1
ORD10200,CUST1516,Footwear,Netbanking,4164.44,18,0,20,232,20,0.09,1,1
ORD10201,CUST1192,Electronics,Wallet,6348.93,15,0,30,852,19,0.08,1,0
ORD10202,CUST1490,Home & Kitchen,Netbanking,6767.84,17,0,0,89,33,0.17,1,0
ORD10203,CUST1565,Beauty,Card,4768.22,2,0,0,37,6,0.22,1,1
ORD10204,CUST1446,Beauty,COD,3548.32,7,1,30,337,2,0.08,2,1
ORD10205,CUST1478,Electronics,Wallet,3692.83,13,0,0,280,1,0.07,1,0
ORD10206,CUST1598,Home & Kitchen,Netbanking,5485.94,16,0,5,348,23,0.14,1,0
ORD10207,CUST1238,Beauty,Wallet,3546.69,8,1,5,812,8,0.03,1,0
ORD10208,CUST1140,Apparel,UPI,6370.86,8,0,30,201,2,0.16,1,1
ORD10209,CUST1305,Electronics,Wallet,6625.13,5,0,0,62,31,0.1,1,0
ORD10210,CUST1341,Electronics,Card,3726.42,1,0,20,877,30,0.04,1,0
ORD10211,CUST1429,Home & Kitchen,Netbanking,5835.3,18,0,0,544,39,0.01,1,0
ORD10212,CUST1065,Beauty,COD,5497.43,1,0,5,870,14,0.02,1,1
ORD10213,CUST1530,Footwear,Wallet,4500.18,8,0,0,512,39,0.78,1,1
ORD10214,CUST1594,Home & Kitchen,Card,6037.25,6,1,0,729,25,0.0,1,0
ORD10215,CUST1412,Footwear,Wallet,3123.85,10,1,5,63,14,0.24,1,0
ORD10216,CUST1200,Home & Kitchen,Netbanking,1591.62,23,1,5,318,17,0.14,1,0
ORD10217,CUST1342,Electronics,COD,2095.06,5,0,0,891,18,0.63,1,0
ORD10218,CUST1270,Footwear,Netbanking,7401.44,6,0,30,639,9,0.01,1,1
ORD10219,CUST1393,Home & Kitchen,Netbanking,1514.58,14,1,5,837,21,0.17,1,0
ORD10220,CUST1368,Apparel,Netbanking,780.5,13,1,30,22,11,0.08,1,0
ORD10221,CUST1151,Electronics,Card,5560.54,4,0,30,219,38,0.02,1,0
ORD10222,CUST1317,Electronics,COD,2723.01,1,0,30,461,24,0.24,1,0
ORD10223,CUST1337,Home & Kitchen,UPI,5053.25,20,1,5,600,8,0.07,1,0
ORD10224,CUST1117,Electronics,UPI,5489.45,5,0,30,123,25,0.25,1,0
ORD10225,CUST1502,Footwear,COD,3604.58,16,0,20,16,15,0.07,1,1
ORD10226,CUST1035,Home & Kitchen,Card,6650.56,3,0,20,708,33,0.15,1,1
ORD10227,CUST1076,Home & Kitchen,COD,7999.91,17,1,5,89,14,0.11,1,0
ORD10228,CUST1175,Home & Kitchen,Netbanking,7989.37,17,1,5,493,2,0.08,1,0
ORD10229,CUST1399,Home & Kitchen,COD,2432.32,10,0,5,840,39,0.1,1,0
ORD10230,CUST1374,Apparel,UPI,3209.82,9,0,0,435,32,0.24,1,0
ORD10231,CUST1107,Beauty,Netbanking,6405.5,20,0,30,416,12,0.15,1,0
ORD10232,CUST1213,Home & Kitchen,Netbanking,3538.25,16,0,30,529,12,0.14,1,0
ORD10233,CUST1170,Home & Kitchen,Wallet,2780.98,16,0,30,822,7,0.11,1,0
ORD10234,CUST1460,Apparel,Netbanking,1518.95,17,0,0,876,10,0.19,1,0
ORD10235,CUST1466,Apparel,UPI,7451.33,19,0,5,387,15,0.8,1,1
ORD10236,CUST1183,Electronics,Card,7315.15,15,0,0,484,23,0.11,1,0
ORD10237,CUST1399,Footwear,Netbanking,7624.67,5,0,0,840,39,0.1,1,1
ORD10238,CUST1273,Home & Kitchen,Card,6996.83,10,1,30,255,10,0.12,1,0
ORD10239,CUST1433,Home & Kitchen,Card,7433.28,20,0,30,100,25,0.16,1,0
ORD10240,CUST1071,Electronics,UPI,6034.01,19,1,0,736,1,0.09,1,0
ORD10241,CUST1184,Apparel,COD,5885.5,18,1,0,896,10,0.1,1,1
ORD10242,CUST1235,Electronics,UPI,6197.23,12,0,0,245,34,0.08,1,0
ORD10243,CUST1176,Electronics,UPI,5965.8,12,0,10,603,15,0.15,1,1
ORD10244,CUST1081,Electronics,UPI,4615.17,2,0,30,6,38,0.09,1,0
ORD10245,CUST1457,Beauty,Netbanking,7817.88,14,0,0,127,9,0.22,1,0
ORD10246,CUST1448,Footwear,COD,3620.97,15,0,5,640,5,0.14,1,1
ORD10247,CUST1571,Beauty,Card,1514.5,21,0,0,645,35,0.2,1,0
ORD10248,CUST1295,Beauty,UPI,2700.71,1,0,30,155,32,0.15,1,0
ORD10249,CUST1064,Electronics,Netbanking,387.37,15,0,0,715,33,0.13,1,0
ORD10250,CUST1446,Apparel,Card,422.96,19,0,20,337,2,0.08,1,1
ORD10251,CUST1574,Home & Kitchen,Wallet,875.87,4,1,0,565,17,0.83,1,1
ORD10252,CUST1491,Beauty,COD,1703.23,13,1,30,722,6,0.1,1,0
ORD10253,CUST1517,Home & Kitchen,Wallet,4974.57,9,0,5,732,20,0.24,2,1
ORD10254,CUST1141,Footwear,Card,7364.49,21,0,10,28,39,0.56,1,1
ORD10255,CUST1544,Home & Kitchen,COD,3120.57,1,1,10,820,3,0.06,1,0
ORD10256,CUST1008,Home & Kitchen,COD,3165.74,6,0,0,671,17,0.69,1,1
ORD10257,CUST1291,Apparel,COD,944.52,19,1,0,796,23,0.6,1,1
ORD10258,CUST1173,Beauty,COD,912.1,3,0,0,61,30,0.08,1,0
ORD10259,CUST1175,Beauty,Card,4769.94,12,0,5,493,2,0.08,1,0
ORD10260,CUST1409,Apparel,UPI,760.06,15,0,0,17,23,0.01,1,0
ORD10261,CUST1221,Home & Kitchen,Card,2929.99,4,0,5,185,8,0.66,2,1
ORD10262,CUST1077,Apparel,Netbanking,5087.07,1,0,20,576,40,0.04,1,1
ORD10263,CUST1147,Apparel,Wallet,2981.59,10,1,20,857,38,0.08,1,0
ORD10264,CUST1506,Beauty,COD,3262.18,1,0,20,610,33,0.14,1,1
ORD10265,CUST1297,Apparel,UPI,5223.36,13,1,10,267,20,0.18,1,0
ORD10266,CUST1186,Beauty,Card,3970.06,17,1,30,529,34,0.01,1,0
ORD10267,CUST1196,Footwear,Wallet,415.88,22,1,5,301,36,0.03,1,0
ORD10268,CUST1217,Electronics,Wallet,4577.86,16,0,20,557,34,0.14,1,0
ORD10269,CUST1497,Apparel,COD,648.41,18,0,30,788,33,0.04,1,0
ORD10270,CUST1149,Home & Kitchen,Wallet,5066.66,0,0,10,332,5,0.14,1,0
ORD10271,CUST1068,Footwear,Netbanking,335.02,14,0,5,352,29,0.08,1,0
ORD10272,CUST1204,Home & Kitchen,Netbanking,2956.32,10,0,5,161,7,0.11,1,0
ORD10273,CUST1177,Home & Kitchen,Netbanking,1086.54,22,1,10,453,11,0.22,1,0
ORD10274,CUST1536,Apparel,COD,5602.17,23,1,10,674,10,0.12,1,0
ORD10275,CUST1563,Home & Kitchen,Wallet,3058.89,16,0,0,546,37,0.77,1,0
ORD10276,CUST1226,Electronics,Netbanking,215.85,6,1,10,807,9,0.1,1,0
ORD10277,CUST1354,Apparel,Netbanking,7793.45,2,0,10,878,1,0.24,4,1
ORD10278,CUST1518,Electronics,Netbanking,2227.59,21,0,0,695,15,0.22,1,1
ORD10279,CUST1386,Beauty,Card,4834.21,5,0,20,569,28,0.2,1,0
ORD10280,CUST1093,Apparel,UPI,2472.62,19,1,10,140,14,0.23,1,1
ORD10281,CUST1156,Footwear,Wallet,931.26,20,0,5,410,33,0.06,1,0
ORD10282,CUST1286,Electronics,UPI,7633.25,9,1,20,778,19,0.12,1,0
ORD10283,CUST1061,Apparel,Netbanking,5547.13,6,1,20,827,23,0.24,1,1
ORD10284,CUST1084,Beauty,UPI,384.63,17,0,30,820,25,0.07,1,1
ORD10285,CUST1519,Apparel,Wallet,841.09,20,0,0,465,23,0.09,1,0
ORD10286,CUST1037,Footwear,Wallet,2500.96,17,1,0,22,38,0.16,1,0
ORD10287,CUST1093,Apparel,UPI,2652.58,13,0,20,140,14,0.23,1,1
ORD10288,CUST1069,Beauty,Card,4213.95,22,0,20,887,7,0.05,1,0
ORD10289,CUST1159,Footwear,Card,3613.21,2,0,0,181,5,0.19,2,0
ORD10290,CUST1007,Home & Kitchen,Wallet,1185.57,8,1,10,240,40,0.07,1,0
ORD10291,CUST1120,Beauty,Netbanking,1202.92,16,0,0,350,35,0.14,1,0
ORD10292,CUST1557,Home & Kitchen,Netbanking,2814.74,11,0,0,770,0,0.14,1,0
ORD10293,CUST1216,Apparel,Card,2924.49,15,0,10,128,28,0.24,1,1
ORD10294,CUST1221,Beauty,COD,6674.45,14,0,0,185,8,0.66,1,1
ORD10295,CUST1110,Electronics,UPI,2837.33,6,0,10,350,16,0.07,1,0
ORD10296,CUST1269,Footwear,Card,5554.15,0,1,0,183,36,0.77,2,1
ORD10297,CUST1388,Footwear,UPI,335.39,0,0,0,68,9,0.2,1,1
ORD10298,CUST1358,Beauty,Card,309.53,18,1,5,507,25,0.08,1,0
ORD10299,CUST1343,Apparel,COD,3628.6,7,0,0,146,36,0.1,1,0
ORD10300,CUST1363,Apparel,Wallet,5157.62,7,0,10,69,20,0.15,1,0
ORD10301,CUST1183,Beauty,Card,506.43,0,0,0,484,23,0.11,1,0
ORD10302,CUST1306,Apparel,COD,2657.18,23,0,10,287,14,0.04,1,0
ORD10303,CUST1002,Home & Kitchen,Wallet,6849.31,5,0,30,458,19,0.04,1,1
ORD10304,CUST1410,Apparel,Netbanking,6577.67,15,1,5,836,1,0.17,1,0
ORD10305,CUST1096,Home & Kitchen,Netbanking,7697.71,19,1,10,745,5,0.06,1,0
ORD10306,CUST1416,Home & Kitchen,COD,5589.89,16,1,5,405,6,0.19,1,1
